name,brand,gender,category,size,price,color,url,img_url,article_no,blob_url
Solglasögon,DESIGN BY KAPPAHL,girl,Accessoarer,ONE SIZE ,"59,90:-",Rosa,https://www.kappahl.com/sv-SE/barn/accessoarer/solglasogon/solglasogon/611012,https://www.kappahl.com/ProductImages/611012/611012_L.jpg?preset=ProductImageMagnified,611012,https://storage.googleapis.com/urbankiddo/kappah/611012
"Nappar 4-36 månader, 2-pack",NEWBIE BABY,girl,Accessoarer,ONE SIZE ,99:-,Offwhite,"https://www.kappahl.com/sv-SE/barn/accessoarer/nappar/nappar-4-36-manader,-2-pack/579979",https://www.kappahl.com/ProductImages/579979/579979_F_1.jpg?preset=ProductImageMagnified,579979,https://storage.googleapis.com/urbankiddo/kappah/579979
"Nappar 2-pack, 0-6 mån",NEWBIE BABY,girl,Accessoarer,ONE SIZE ,99:-,Offwhite,"https://www.kappahl.com/sv-SE/barn/accessoarer/nappar/nappar-2-pack,-0-6-man/579896",https://www.kappahl.com/ProductImages/579896/579896_F_1.jpg?preset=ProductImageMagnified,579896,https://storage.googleapis.com/urbankiddo/kappah/579896
Mössa,NEWBIE BABY,girl,Accessoarer,00/03 M ,"59,90:-",Offwhite,https://www.kappahl.com/sv-SE/barn/accessoarer/mossor-vantar/mossor/mossa/573881,https://www.kappahl.com/ProductImages/573881/573881_L_1.jpg?preset=ProductImageMagnified,573881,https://storage.googleapis.com/urbankiddo/kappah/573881
Mössa,NEWBIE BABY,girl,Accessoarer,04/06 M ,"59,90:-",Offwhite,https://www.kappahl.com/sv-SE/barn/accessoarer/mossor-vantar/mossor/mossa/573881,https://www.kappahl.com/ProductImages/573881/573881_L_1.jpg?preset=ProductImageMagnified,573881,https://storage.googleapis.com/urbankiddo/kappah/573881
Dregglis 2-pack,NEWBIE BABY,girl,Accessoarer,ONE SIZE ,"79,90:-",Offwhite,https://www.kappahl.com/sv-SE/barn/accessoarer/dregglisar/dregglis-2-pack/573865,https://www.kappahl.com/ProductImages/573865/573865_L_1.jpg?preset=ProductImageMagnified,573865,https://storage.googleapis.com/urbankiddo/kappah/573865
Kort,NEWBIE BABY,girl,Accessoarer,ONE SIZE ,"19,90:-",Offwhite,https://www.kappahl.com/sv-SE/barn/accessoarer/ovrigt/kort/581827,https://www.kappahl.com/ProductImages/581827/581827_L.jpg?preset=ProductImageMagnified,581827,https://storage.googleapis.com/urbankiddo/kappah/581827
Gosedjur,NEWBIE BABY,girl,Accessoarer,ONE SIZE ,99:-,Offwhite,https://www.kappahl.com/sv-SE/barn/accessoarer/gosedjur/784983,https://www.kappahl.com/ProductImages/784983/784983_F_1.jpg?preset=ProductImageMagnified,784983,https://storage.googleapis.com/urbankiddo/kappah/784983
Snuttefilt,NEWBIE BABY,girl,Accessoarer,ONE SIZE ,99:-,Beige,https://www.kappahl.com/sv-SE/barn/accessoarer/gosedjur/snuttefilt/551614,https://www.kappahl.com/ProductImages/551614/551614_L.jpg?preset=ProductImageMagnified,551614,https://storage.googleapis.com/urbankiddo/kappah/551614
Skallra,NEWBIE BABY,girl,Accessoarer,ONE SIZE ,99:-,Beige,https://www.kappahl.com/sv-SE/barn/accessoarer/ovrigt/skallra/551531,https://www.kappahl.com/ProductImages/551531/551531_L.jpg?preset=ProductImageMagnified,551531,https://storage.googleapis.com/urbankiddo/kappah/551531
Badlakan,NEWBIE BABY,girl,Accessoarer,ONE SIZE ,179:-,Offwhite,https://www.kappahl.com/sv-SE/barn/accessoarer/badlakan/562843,https://www.kappahl.com/ProductImages/562843/562843_L.jpg?preset=ProductImageMagnified,562843,https://storage.googleapis.com/urbankiddo/kappah/562843
Kort,NEWBIE BABY,girl,Accessoarer,ONE SIZE ,"19,90:-",Rosa,https://www.kappahl.com/sv-SE/barn/accessoarer/ovrigt/kort/524264,https://www.kappahl.com/ProductImages/524264/524264_F.jpg?preset=ProductImageMagnified,524264,https://storage.googleapis.com/urbankiddo/kappah/524264
Gosedjur,NEWBIE BABY,girl,Accessoarer,ONE SIZE ,99:-,Beige,https://www.kappahl.com/sv-SE/barn/mjuka-klappar-till-de-minsta/gosedjur/131078,https://www.kappahl.com/ProductImages/131078/131078_F.jpg?preset=ProductImageMagnified,131078,https://storage.googleapis.com/urbankiddo/kappah/131078
2-pack Mössa,NEWBIE BABY,girl,Accessoarer,38/40 ,"69,90:-",Offwhite,https://www.kappahl.com/sv-SE/barn/accessoarer/mossor-vantar/mossor/2-pack-mossa/467423,https://www.kappahl.com/ProductImages/467423/467423_F.jpg?preset=ProductImageMagnified,467423,https://storage.googleapis.com/urbankiddo/kappah/467423
2-pack Mössa,NEWBIE BABY,girl,Accessoarer,42/44 ,"69,90:-",Offwhite,https://www.kappahl.com/sv-SE/barn/accessoarer/mossor-vantar/mossor/2-pack-mossa/467423,https://www.kappahl.com/ProductImages/467423/467423_F.jpg?preset=ProductImageMagnified,467423,https://storage.googleapis.com/urbankiddo/kappah/467423
Solhatt,NEWBIE BABY,girl,Accessoarer,40/42  - Ej i lager,"79,90:-",Offwhite,https://www.kappahl.com/sv-SE/barn/accessoarer/kepsar-hattar/solhatt/872176,https://www.kappahl.com/ProductImages/872176/872176_F.jpg?preset=ProductImageMagnified,872176,https://storage.googleapis.com/urbankiddo/kappah/872176
Solhatt,NEWBIE BABY,girl,Accessoarer,44/46  - Ej i lager,"79,90:-",Offwhite,https://www.kappahl.com/sv-SE/barn/accessoarer/kepsar-hattar/solhatt/872176,https://www.kappahl.com/ProductImages/872176/872176_F.jpg?preset=ProductImageMagnified,872176,https://storage.googleapis.com/urbankiddo/kappah/872176
Solhatt,NEWBIE BABY,girl,Accessoarer,48/50 ,"79,90:-",Offwhite,https://www.kappahl.com/sv-SE/barn/accessoarer/kepsar-hattar/solhatt/872176,https://www.kappahl.com/ProductImages/872176/872176_F.jpg?preset=ProductImageMagnified,872176,https://storage.googleapis.com/urbankiddo/kappah/872176
Solhatt,NEWBIE BABY,girl,Accessoarer,40/42  - Ej i lager,"79,90:-",Rosa,https://www.kappahl.com/sv-SE/barn/accessoarer/kepsar-hattar/solhatt/872192,https://www.kappahl.com/ProductImages/872192/872192_F.jpg?preset=ProductImageMagnified,872192,https://storage.googleapis.com/urbankiddo/kappah/872192
