name,brand,gender,category,size,price,url,img_url,article_no
Girls Ultra Flex Bright Horizon Black,SKECHERS,girl,skor,EU 31 FÅ KVAR!,799 SEK,https://www.afound.com/sv-se/produkter/girls-ultra-flex-bright-horizon-black_2izf9393,https://www.afound.com/globalassets/1/kids/shoes/390157_b33ebc01a0144460cec92d5e545f4190.jpg?preset=w100h100,1615693
Girls Ultra Flex Bright Horizon Black,SKECHERS,girl,skor,EU 32,799 SEK,https://www.afound.com/sv-se/produkter/girls-ultra-flex-bright-horizon-black_2izf9393,https://www.afound.com/globalassets/1/kids/shoes/390157_b33ebc01a0144460cec92d5e545f4190.jpg?preset=w100h100,1615693
Girls Ultra Flex Bright Horizon Black,SKECHERS,girl,skor,EU 33 FÅ KVAR!,799 SEK,https://www.afound.com/sv-se/produkter/girls-ultra-flex-bright-horizon-black_2izf9393,https://www.afound.com/globalassets/1/kids/shoes/390157_b33ebc01a0144460cec92d5e545f4190.jpg?preset=w100h100,1615693
Girls Ultra Flex Bright Horizon Black,SKECHERS,girl,skor,EU 34 FÅ KVAR!,799 SEK,https://www.afound.com/sv-se/produkter/girls-ultra-flex-bright-horizon-black_2izf9393,https://www.afound.com/globalassets/1/kids/shoes/390157_b33ebc01a0144460cec92d5e545f4190.jpg?preset=w100h100,1615693
Girls Ultra Flex Bright Horizon Black,SKECHERS,girl,skor,EU 35 FÅ KVAR!,799 SEK,https://www.afound.com/sv-se/produkter/girls-ultra-flex-bright-horizon-black_2izf9393,https://www.afound.com/globalassets/1/kids/shoes/390157_b33ebc01a0144460cec92d5e545f4190.jpg?preset=w100h100,1615693
Smitten Pax Känga Brun,PAX Scandinavia,girl,skor,EU 29 FÅ KVAR!,1 100 SEK,https://www.afound.com/sv-se/produkter/smitten-brown_jedbv0e5,https://www.afound.com/globalassets/1/kids/shoes/270190_0a3903fa5521675518102667335d9556.jpg?preset=w100h100,1269167
Smitten Pax Känga Brun,PAX Scandinavia,girl,skor,EU 30 FÅ KVAR!,1 100 SEK,https://www.afound.com/sv-se/produkter/smitten-brown_jedbv0e5,https://www.afound.com/globalassets/1/kids/shoes/270190_0a3903fa5521675518102667335d9556.jpg?preset=w100h100,1269167
Smitten Pax Känga Brun,PAX Scandinavia,girl,skor,EU 31 FÅ KVAR!,1 100 SEK,https://www.afound.com/sv-se/produkter/smitten-brown_jedbv0e5,https://www.afound.com/globalassets/1/kids/shoes/270190_0a3903fa5521675518102667335d9556.jpg?preset=w100h100,1269167
Smitten Pax Känga Brun,PAX Scandinavia,girl,skor,EU 32 FÅ KVAR!,1 100 SEK,https://www.afound.com/sv-se/produkter/smitten-brown_jedbv0e5,https://www.afound.com/globalassets/1/kids/shoes/270190_0a3903fa5521675518102667335d9556.jpg?preset=w100h100,1269167
Smitten Pax Känga Brun,PAX Scandinavia,girl,skor,EU 33 FÅ KVAR!,1 100 SEK,https://www.afound.com/sv-se/produkter/smitten-brown_jedbv0e5,https://www.afound.com/globalassets/1/kids/shoes/270190_0a3903fa5521675518102667335d9556.jpg?preset=w100h100,1269167
Smitten Pax Känga Brun,PAX Scandinavia,girl,skor,EU 34 FÅ KVAR!,1 100 SEK,https://www.afound.com/sv-se/produkter/smitten-brown_jedbv0e5,https://www.afound.com/globalassets/1/kids/shoes/270190_0a3903fa5521675518102667335d9556.jpg?preset=w100h100,1269167
Smitten Pax Känga Brun,PAX Scandinavia,girl,skor,EU 35 FÅ KVAR!,1 100 SEK,https://www.afound.com/sv-se/produkter/smitten-brown_jedbv0e5,https://www.afound.com/globalassets/1/kids/shoes/270190_0a3903fa5521675518102667335d9556.jpg?preset=w100h100,1269167
Olli Sneakers Rosa,Din Sko,girl,skor,EU 31,299 SEK,https://www.afound.com/sv-se/produkter/olli-sneakers-rosa_qn1rkqgs,https://www.afound.com/globalassets/1/kids/shoes/481817_3b5cdd1c50d51539357a61f3f7307711.jpg?preset=w100h100,1884031
Olli Sneakers Rosa,Din Sko,girl,skor,EU 32,299 SEK,https://www.afound.com/sv-se/produkter/olli-sneakers-rosa_qn1rkqgs,https://www.afound.com/globalassets/1/kids/shoes/481817_3b5cdd1c50d51539357a61f3f7307711.jpg?preset=w100h100,1884031
Olli Sneakers Rosa,Din Sko,girl,skor,EU 33,299 SEK,https://www.afound.com/sv-se/produkter/olli-sneakers-rosa_qn1rkqgs,https://www.afound.com/globalassets/1/kids/shoes/481817_3b5cdd1c50d51539357a61f3f7307711.jpg?preset=w100h100,1884031
Olli Sneakers Rosa,Din Sko,girl,skor,EU 34,299 SEK,https://www.afound.com/sv-se/produkter/olli-sneakers-rosa_qn1rkqgs,https://www.afound.com/globalassets/1/kids/shoes/481817_3b5cdd1c50d51539357a61f3f7307711.jpg?preset=w100h100,1884031
Olli Sneakers Rosa,Din Sko,girl,skor,EU 35,299 SEK,https://www.afound.com/sv-se/produkter/olli-sneakers-rosa_qn1rkqgs,https://www.afound.com/globalassets/1/kids/shoes/481817_3b5cdd1c50d51539357a61f3f7307711.jpg?preset=w100h100,1884031
Olli Sneakers Rosa,Din Sko,girl,skor,EU 36,299 SEK,https://www.afound.com/sv-se/produkter/olli-sneakers-rosa_qn1rkqgs,https://www.afound.com/globalassets/1/kids/shoes/481817_3b5cdd1c50d51539357a61f3f7307711.jpg?preset=w100h100,1884031
Olli Sneakers Rosa,Din Sko,girl,skor,EU 37,299 SEK,https://www.afound.com/sv-se/produkter/olli-sneakers-rosa_qn1rkqgs,https://www.afound.com/globalassets/1/kids/shoes/481817_3b5cdd1c50d51539357a61f3f7307711.jpg?preset=w100h100,1884031
Olli Sneakers Rosa,Din Sko,girl,skor,EU 38,299 SEK,https://www.afound.com/sv-se/produkter/olli-sneakers-rosa_qn1rkqgs,https://www.afound.com/globalassets/1/kids/shoes/481817_3b5cdd1c50d51539357a61f3f7307711.jpg?preset=w100h100,1884031
Reebok Royal Classic Jog 2,Reebok,girl,skor,EU 17,299 SEK,https://www.afound.com/sv-se/produkter/reebok-royal-classic-jog-2_cbjdf5pz,https://www.afound.com/globalassets/1/kids/shoes/489951_de87895098f57e01b8d872ebd2f40f33.jpg?preset=w100h100,1908771
Reebok Royal Classic Jog 2,Reebok,girl,skor,EU 18.5,299 SEK,https://www.afound.com/sv-se/produkter/reebok-royal-classic-jog-2_cbjdf5pz,https://www.afound.com/globalassets/1/kids/shoes/489951_de87895098f57e01b8d872ebd2f40f33.jpg?preset=w100h100,1908771
Reebok Royal Classic Jog 2,Reebok,girl,skor,EU 18/19,299 SEK,https://www.afound.com/sv-se/produkter/reebok-royal-classic-jog-2_cbjdf5pz,https://www.afound.com/globalassets/1/kids/shoes/489951_de87895098f57e01b8d872ebd2f40f33.jpg?preset=w100h100,1908771
Reebok Royal Classic Jog 2,Reebok,girl,skor,EU 20,299 SEK,https://www.afound.com/sv-se/produkter/reebok-royal-classic-jog-2_cbjdf5pz,https://www.afound.com/globalassets/1/kids/shoes/489951_de87895098f57e01b8d872ebd2f40f33.jpg?preset=w100h100,1908771
Reebok Royal Classic Jog 2,Reebok,girl,skor,EU 21,299 SEK,https://www.afound.com/sv-se/produkter/reebok-royal-classic-jog-2_cbjdf5pz,https://www.afound.com/globalassets/1/kids/shoes/489951_de87895098f57e01b8d872ebd2f40f33.jpg?preset=w100h100,1908771
Reebok Royal Classic Jog 2,Reebok,girl,skor,EU 21.5,299 SEK,https://www.afound.com/sv-se/produkter/reebok-royal-classic-jog-2_cbjdf5pz,https://www.afound.com/globalassets/1/kids/shoes/489951_de87895098f57e01b8d872ebd2f40f33.jpg?preset=w100h100,1908771
Reebok Royal Classic Jog 2,Reebok,girl,skor,EU 22,299 SEK,https://www.afound.com/sv-se/produkter/reebok-royal-classic-jog-2_cbjdf5pz,https://www.afound.com/globalassets/1/kids/shoes/489951_de87895098f57e01b8d872ebd2f40f33.jpg?preset=w100h100,1908771
Reebok Royal Classic Jog 2,Reebok,girl,skor,EU 22/23,299 SEK,https://www.afound.com/sv-se/produkter/reebok-royal-classic-jog-2_cbjdf5pz,https://www.afound.com/globalassets/1/kids/shoes/489951_de87895098f57e01b8d872ebd2f40f33.jpg?preset=w100h100,1908771
Reebok Royal Classic Jog 2,Reebok,girl,skor,EU 23.5,299 SEK,https://www.afound.com/sv-se/produkter/reebok-royal-classic-jog-2_cbjdf5pz,https://www.afound.com/globalassets/1/kids/shoes/489951_de87895098f57e01b8d872ebd2f40f33.jpg?preset=w100h100,1908771
Reebok Royal Classic Jog 2,Reebok,girl,skor,EU 24,299 SEK,https://www.afound.com/sv-se/produkter/reebok-royal-classic-jog-2_cbjdf5pz,https://www.afound.com/globalassets/1/kids/shoes/489951_de87895098f57e01b8d872ebd2f40f33.jpg?preset=w100h100,1908771
Reebok Royal Classic Jog 2,Reebok,girl,skor,EU 25,299 SEK,https://www.afound.com/sv-se/produkter/reebok-royal-classic-jog-2_cbjdf5pz,https://www.afound.com/globalassets/1/kids/shoes/489951_de87895098f57e01b8d872ebd2f40f33.jpg?preset=w100h100,1908771
Reebok Royal Classic Jog 2,Reebok,girl,skor,EU 26,299 SEK,https://www.afound.com/sv-se/produkter/reebok-royal-classic-jog-2_cbjdf5pz,https://www.afound.com/globalassets/1/kids/shoes/489951_de87895098f57e01b8d872ebd2f40f33.jpg?preset=w100h100,1908771
Stadig Black,PAX Scandinavia,girl,skor,EU 20,850 SEK,https://www.afound.com/sv-se/produkter/stadig-black_hzzmj9zn,https://www.afound.com/globalassets/1/kids/shoes/501008_e48e59b02108decf6d9440e0eb9adc4c.jpg?preset=w100h100,1947095
Stadig Black,PAX Scandinavia,girl,skor,EU 21,850 SEK,https://www.afound.com/sv-se/produkter/stadig-black_hzzmj9zn,https://www.afound.com/globalassets/1/kids/shoes/501008_e48e59b02108decf6d9440e0eb9adc4c.jpg?preset=w100h100,1947095
Stadig Black,PAX Scandinavia,girl,skor,EU 22,850 SEK,https://www.afound.com/sv-se/produkter/stadig-black_hzzmj9zn,https://www.afound.com/globalassets/1/kids/shoes/501008_e48e59b02108decf6d9440e0eb9adc4c.jpg?preset=w100h100,1947095
Stadig Black,PAX Scandinavia,girl,skor,EU 23,850 SEK,https://www.afound.com/sv-se/produkter/stadig-black_hzzmj9zn,https://www.afound.com/globalassets/1/kids/shoes/501008_e48e59b02108decf6d9440e0eb9adc4c.jpg?preset=w100h100,1947095
Stadig Black,PAX Scandinavia,girl,skor,EU 24,850 SEK,https://www.afound.com/sv-se/produkter/stadig-black_hzzmj9zn,https://www.afound.com/globalassets/1/kids/shoes/501008_e48e59b02108decf6d9440e0eb9adc4c.jpg?preset=w100h100,1947095
Stadig Black,PAX Scandinavia,girl,skor,EU 25,850 SEK,https://www.afound.com/sv-se/produkter/stadig-black_hzzmj9zn,https://www.afound.com/globalassets/1/kids/shoes/501008_e48e59b02108decf6d9440e0eb9adc4c.jpg?preset=w100h100,1947095
Stadig Black,PAX Scandinavia,girl,skor,EU 26,850 SEK,https://www.afound.com/sv-se/produkter/stadig-black_hzzmj9zn,https://www.afound.com/globalassets/1/kids/shoes/501008_e48e59b02108decf6d9440e0eb9adc4c.jpg?preset=w100h100,1947095
Stadig Black,PAX Scandinavia,girl,skor,EU 27,850 SEK,https://www.afound.com/sv-se/produkter/stadig-black_hzzmj9zn,https://www.afound.com/globalassets/1/kids/shoes/501008_e48e59b02108decf6d9440e0eb9adc4c.jpg?preset=w100h100,1947095
Pingu Purple,PAX Scandinavia,girl,skor,EU 24,650 SEK,https://www.afound.com/sv-se/produkter/pingu-purple_9jofzz37,https://www.afound.com/globalassets/1/kids/shoes/501009_e57000f0857aa56611550e6438761b62.jpg?preset=w100h100,1947107
Pingu Purple,PAX Scandinavia,girl,skor,EU 25,650 SEK,https://www.afound.com/sv-se/produkter/pingu-purple_9jofzz37,https://www.afound.com/globalassets/1/kids/shoes/501009_e57000f0857aa56611550e6438761b62.jpg?preset=w100h100,1947107
Pingu Purple,PAX Scandinavia,girl,skor,EU 26,650 SEK,https://www.afound.com/sv-se/produkter/pingu-purple_9jofzz37,https://www.afound.com/globalassets/1/kids/shoes/501009_e57000f0857aa56611550e6438761b62.jpg?preset=w100h100,1947107
Pingu Purple,PAX Scandinavia,girl,skor,EU 27,650 SEK,https://www.afound.com/sv-se/produkter/pingu-purple_9jofzz37,https://www.afound.com/globalassets/1/kids/shoes/501009_e57000f0857aa56611550e6438761b62.jpg?preset=w100h100,1947107
Pingu Purple,PAX Scandinavia,girl,skor,EU 28,650 SEK,https://www.afound.com/sv-se/produkter/pingu-purple_9jofzz37,https://www.afound.com/globalassets/1/kids/shoes/501009_e57000f0857aa56611550e6438761b62.jpg?preset=w100h100,1947107
Pingu Purple,PAX Scandinavia,girl,skor,EU 29,650 SEK,https://www.afound.com/sv-se/produkter/pingu-purple_9jofzz37,https://www.afound.com/globalassets/1/kids/shoes/501009_e57000f0857aa56611550e6438761b62.jpg?preset=w100h100,1947107
