name,brand,gender,category,size,price,color,url,img_url,article_no
"Body Button, White",Ellos Kids,"
Barn			",BODIES & SPARKDRÄKTER,80,"119 kr

        449 kr","
Vit			",https://cdon.se/klader/body-button-p46309314-62113060,https://cdn.cdon.com/media-dynamic/images/product/clothing/clothing/image44/body_button-46309314-62113060-org.jpg,46309314
"Body Button, White",Ellos Kids,"
Barn			",BODIES & SPARKDRÄKTER,86,"119 kr

        449 kr","
Vit			",https://cdon.se/klader/body-button-p46309314-62113060,https://cdn.cdon.com/media-dynamic/images/product/clothing/clothing/image44/body_button-46309314-62113060-org.jpg,46309314
"Overall i ekologisk bomull, Grey melange",Ellos Kids,"
Barn			",BODIES & SPARKDRÄKTER,62,"119 kr

        449 kr","
Grå			",https://cdon.se/klader/overall-i-ekologisk-bomull-p47544005-62858981,https://cdn.cdon.com/media-dynamic/images/product/clothing/clothing/image718/overall_i_ekologisk_bomull-47544005-62858981-org.jpg,47544005
"Overall i ekologisk bomull, Grey melange",Ellos Kids,"
Barn			",BODIES & SPARKDRÄKTER,68,"119 kr

        449 kr","
Grå			",https://cdon.se/klader/overall-i-ekologisk-bomull-p47544005-62858981,https://cdn.cdon.com/media-dynamic/images/product/clothing/clothing/image718/overall_i_ekologisk_bomull-47544005-62858981-org.jpg,47544005
"Overall i ekologisk bomull, Grey melange",Ellos Kids,"
Barn			",BODIES & SPARKDRÄKTER,74,"119 kr

        449 kr","
Grå			",https://cdon.se/klader/overall-i-ekologisk-bomull-p47544005-62858981,https://cdn.cdon.com/media-dynamic/images/product/clothing/clothing/image718/overall_i_ekologisk_bomull-47544005-62858981-org.jpg,47544005
"Overall i ekologisk bomull, Grey melange",Ellos Kids,"
Barn			",BODIES & SPARKDRÄKTER,80,"119 kr

        449 kr","
Grå			",https://cdon.se/klader/overall-i-ekologisk-bomull-p47544005-62858981,https://cdn.cdon.com/media-dynamic/images/product/clothing/clothing/image718/overall_i_ekologisk_bomull-47544005-62858981-org.jpg,47544005
"Overall i ekologisk bomull, Grey melange",Ellos Kids,"
Barn			",BODIES & SPARKDRÄKTER,86,"119 kr

        449 kr","
Grå			",https://cdon.se/klader/overall-i-ekologisk-bomull-p47544005-62858981,https://cdn.cdon.com/media-dynamic/images/product/clothing/clothing/image718/overall_i_ekologisk_bomull-47544005-62858981-org.jpg,47544005
"Overall Sky, Navy Blue",Ellos Kids,"
Barn			",BODIES & SPARKDRÄKTER,50,"119 kr

        449 kr","
Blå			",https://cdon.se/klader/overall-sky-p46309438-62113320,https://cdn.cdon.com/media-dynamic/images/product/clothing/clothing/image521/overall_sky-46309438-62113320-org.jpg,46309438
"Overall Sky, Navy Blue",Ellos Kids,"
Barn			",BODIES & SPARKDRÄKTER,56,"119 kr

        449 kr","
Blå			",https://cdon.se/klader/overall-sky-p46309438-62113320,https://cdn.cdon.com/media-dynamic/images/product/clothing/clothing/image521/overall_sky-46309438-62113320-org.jpg,46309438
"Body Stripe, Dark blue",Ellos Kids,"
Barn			",BODIES & SPARKDRÄKTER,74,"119 kr

        449 kr","
Blå			",https://cdon.se/klader/body-stripe-p46611327-62114266,https://cdn.cdon.com/media-dynamic/images/product/clothing/clothing/image131/body_stripe-46611327-62114266-org.jpg,46611327
"Body Stripe, Dark blue",Ellos Kids,"
Barn			",BODIES & SPARKDRÄKTER,86,"119 kr

        449 kr","
Blå			",https://cdon.se/klader/body-stripe-p46611327-62114266,https://cdn.cdon.com/media-dynamic/images/product/clothing/clothing/image131/body_stripe-46611327-62114266-org.jpg,46611327
Body från Petter & Kajsa,Petter&Kajsa,"
Pojke			",BODIES & SPARKDRÄKTER,"Grey, 62","119 kr

        449 kr","
Blå			",https://cdon.se/klader/body-fran-petter-kajsa-p46662135,https://cdn.cdon.com/media-dynamic/images/product/clothing/clothing/image434/body_frn_petter_amp_kajsa-46662135-60007527-org.jpg,46662135
Body från Petter & Kajsa,Petter&Kajsa,"
Pojke			",BODIES & SPARKDRÄKTER,"Grey, 68","119 kr

        449 kr","
Blå			",https://cdon.se/klader/body-fran-petter-kajsa-p46662135,https://cdn.cdon.com/media-dynamic/images/product/clothing/clothing/image434/body_frn_petter_amp_kajsa-46662135-60007527-org.jpg,46662135
Body från Petter & Kajsa,Petter&Kajsa,"
Pojke			",BODIES & SPARKDRÄKTER,"Grey, 74","119 kr

        449 kr","
Blå			",https://cdon.se/klader/body-fran-petter-kajsa-p46662135,https://cdn.cdon.com/media-dynamic/images/product/clothing/clothing/image434/body_frn_petter_amp_kajsa-46662135-60007527-org.jpg,46662135
