name,brand,gender,category,size,price,color,composition,url,img_url,article_no,blob_url
Jerseyklänning,bpc bonprix collection,girl,Dresses,"
Storlek140
	                ",199kr,ullvit/jeansblå/mörkblå,100% bomull,https://www.bonprix.se/produkt/jerseyklaenning-ullvit-jeansbla-moerkbla-973864/#image,https://image01.bonprix.se/assets/460x644/1516623753/17274670-rEfoaMxv.jpg,97386495
Jerseyklänning,bpc bonprix collection,girl,Dresses,"
Storlek146
	                ",199kr,ullvit/jeansblå/mörkblå,100% bomull,https://www.bonprix.se/produkt/jerseyklaenning-ullvit-jeansbla-moerkbla-973864/#image,https://image01.bonprix.se/assets/460x644/1516623753/17274670-rEfoaMxv.jpg,97386495
Jerseyklänning,bpc bonprix collection,girl,Dresses,"
Storlek152
	                ",199kr,ullvit/jeansblå/mörkblå,100% bomull,https://www.bonprix.se/produkt/jerseyklaenning-ullvit-jeansbla-moerkbla-973864/#image,https://image01.bonprix.se/assets/460x644/1516623753/17274670-rEfoaMxv.jpg,97386495
Jerseyklänning,bpc bonprix collection,girl,Dresses,"
Storlek158
	                ",199kr,ullvit/jeansblå/mörkblå,100% bomull,https://www.bonprix.se/produkt/jerseyklaenning-ullvit-jeansbla-moerkbla-973864/#image,https://image01.bonprix.se/assets/460x644/1516623753/17274670-rEfoaMxv.jpg,97386495
Jerseyklänning,bpc bonprix collection,girl,Dresses,"
Storlek164
	                ",199kr,ullvit/jeansblå/mörkblå,100% bomull,https://www.bonprix.se/produkt/jerseyklaenning-ullvit-jeansbla-moerkbla-973864/#image,https://image01.bonprix.se/assets/460x644/1516623753/17274670-rEfoaMxv.jpg,97386495
Jerseyklänning,bpc bonprix collection,girl,Dresses,"
Storlek170
	                ",199kr,ullvit/jeansblå/mörkblå,100% bomull,https://www.bonprix.se/produkt/jerseyklaenning-ullvit-jeansbla-moerkbla-973864/#image,https://image01.bonprix.se/assets/460x644/1516623753/17274670-rEfoaMxv.jpg,97386495
Jerseyklänning,bpc bonprix collection,girl,Dresses,"
Storlek176
	                ",199kr,ullvit/jeansblå/mörkblå,100% bomull,https://www.bonprix.se/produkt/jerseyklaenning-ullvit-jeansbla-moerkbla-973864/#image,https://image01.bonprix.se/assets/460x644/1516623753/17274670-rEfoaMxv.jpg,97386495
Jerseyklänning,bpc bonprix collection,girl,Dresses,"
Storlek128/134
	                ",149kr,svart/knallrosa,"95% bomull, 5% elastan",https://www.bonprix.se/produkt/jerseyklaenning-svart-knallrosa-953313/#image,https://image01.bonprix.se/assets/460x644/1481547046/16233518-5JalsJbD.jpg,95331395
Jerseyklänning,bpc bonprix collection,girl,Dresses,"
Storlek140/146
	                ",149kr,svart/knallrosa,"95% bomull, 5% elastan",https://www.bonprix.se/produkt/jerseyklaenning-svart-knallrosa-953313/#image,https://image01.bonprix.se/assets/460x644/1481547046/16233518-5JalsJbD.jpg,95331395
Jerseyklänning,bpc bonprix collection,girl,Dresses,"
Storlek152/158
	                ",149kr,svart/knallrosa,"95% bomull, 5% elastan",https://www.bonprix.se/produkt/jerseyklaenning-svart-knallrosa-953313/#image,https://image01.bonprix.se/assets/460x644/1481547046/16233518-5JalsJbD.jpg,95331395
Jerseyklänning,bpc bonprix collection,girl,Dresses,"
Storlek164/170
	                ",149kr,svart/knallrosa,"95% bomull, 5% elastan",https://www.bonprix.se/produkt/jerseyklaenning-svart-knallrosa-953313/#image,https://image01.bonprix.se/assets/460x644/1481547046/16233518-5JalsJbD.jpg,95331395
