name,brand,gender,category,size,price,composition,color,url,img_url,article_no
Handskar svart,polarnopyret,unisex,"Accessoarer & Övrigt
(216)",4,179 kr,Skal 1: 100% polyamid Skal 2: 100% polyester,Svart,https://www.polarnopyret.se/barnklader/accessoarer-ovrigt/vantar-handskar/handskar-svart-60292071-475,https://www.polarnopyret.se/globalassets/productimages-polarnopyret/7322859543327.jpg?ref=2767D89A34&w=960&h=960&mode=max,60292071
Randiga laglappar gråmelange,polarnopyret,unisex,"Accessoarer & Övrigt
(216)",One size,99 kr,100% Bomull,Gråmelange,https://www.polarnopyret.se/barnklader/accessoarer-ovrigt/ovrigt/randiga-laglappar-gramelange-60374956-186,https://www.polarnopyret.se/globalassets/productimages-polarnopyret/7325852730145.jpg?ref=7EF504E72F&w=960&h=960&mode=max,60374956
Ullmössa baby gråmelange,polarnopyret,unisex,"Accessoarer & Övrigt
(216)",48 50,199 kr,100% Ull,Gråmelange,https://www.polarnopyret.se/barnklader/ull-understall/ullklader/ullmossa-baby-gramelange-60382131-186,https://www.polarnopyret.se/globalassets/productimages-polarnopyret/7325852968647.jpg?ref=7CC1E9D1EC&w=960&h=960&mode=max,60382131
Regnvantar galon baby gul,polarnopyret,unisex,"Accessoarer & Övrigt
(216)",2,149 kr,100% Polyester,Gul,https://www.polarnopyret.se/barnklader/ytterklader/regnklader/regnvantar-galon-baby-gul-60400065-513,https://www.polarnopyret.se/globalassets/productimages-polarnopyret/7325853541030.jpg?ref=398AB597FF&w=960&h=960&mode=max,60400065
Mössa randig baby röd,polarnopyret,unisex,"Accessoarer & Övrigt
(216)",48 50,149 kr,100% bomull,Röd,https://www.polarnopyret.se/barnklader/accessoarer-ovrigt/mossor/mossa-randig-baby-rod-60290262-503,https://www.polarnopyret.se/globalassets/productimages-polarnopyret/7322859452315.jpg?ref=A0F987D2EC&w=960&h=960&mode=max,60290262
Kanin mörk marinblå,polarnopyret,unisex,"Accessoarer & Övrigt
(216)",One size,99 kr,100% bomull 100% polyester,Mörk marinblå,https://www.polarnopyret.se/barnklader/accessoarer-ovrigt/ovrigt/kanin-mork-marinbla-60290463-483,https://www.polarnopyret.se/globalassets/productimages-polarnopyret/7322859460938.jpg?ref=4E8292D0CE&w=960&h=960&mode=max,60290463
Övervikbara torgvantar svart,polarnopyret,unisex,"Accessoarer & Övrigt
(216)",6,149 kr,100% Polyester,Svart,https://www.polarnopyret.se/barnklader/accessoarer-ovrigt/vantar-handskar/overvikbara-torgvantar-svart-60417064-198,https://www.polarnopyret.se/globalassets/productimages-polarnopyret/7325854022880.jpg?ref=9E506E75AE&w=960&h=960&mode=max,60417064
Regnvantar galon gul,polarnopyret,unisex,"Accessoarer & Övrigt
(216)",4,149 kr,100% Polyester,Gul,https://www.polarnopyret.se/barnklader/ytterklader/regnklader/regnvantar-galon-gul-60400066-513,https://www.polarnopyret.se/globalassets/productimages-polarnopyret/7325853541054.jpg?ref=FBD999688C&w=960&h=960&mode=max,60400066
Kanin röd,polarnopyret,unisex,"Accessoarer & Övrigt
(216)",One size,99 kr,100% bomull 100% polyester,Röd,https://www.polarnopyret.se/barnklader/accessoarer-ovrigt/ovrigt/kanin-rod-60290463-503,https://www.polarnopyret.se/globalassets/productimages-polarnopyret/7322859460945.jpg?ref=DBD38C3991&w=960&h=960&mode=max,60290463
Dregellapp vändbar nyfödd röd,polarnopyret,unisex,"Accessoarer & Övrigt
(216)",One size,99 kr,100% bomull,Röd,https://www.polarnopyret.se/barnklader/accessoarer-ovrigt/ovrigt/dregellapp-vandbar-nyfodd-rod-60290470-503,https://www.polarnopyret.se/globalassets/productimages-polarnopyret/7322859461171.jpg?ref=9A0CCD0074&w=960&h=960&mode=max,60290470
Gosedjur hare röd,polarnopyret,unisex,"Accessoarer & Övrigt
(216)",One size,199 kr,100% polyester,Röd,https://www.polarnopyret.se/barnklader/accessoarer-ovrigt/ovrigt/gosedjur-hare-rod-60290459-503,https://www.polarnopyret.se/globalassets/productimages-polarnopyret/7322859460853_1.jpg?ref=B347CA5E6A&w=960&h=960&mode=max,60290459
Tumvantar svart,polarnopyret,unisex,"Accessoarer & Övrigt
(216)",2,199 kr,Yttertyg: 100% Polyester Vaddering: 100% Polyester Foder: 100% Polyester,Svart,https://www.polarnopyret.se/barnklader/accessoarer-ovrigt/vantar-handskar/tumvantar-svart-60382339-198,https://www.polarnopyret.se/globalassets/productimages-polarnopyret/7325852975119.jpg?ref=106D1CF1DB&w=960&h=960&mode=max,60382339
Hjälmmössa randig nyfödd röd,polarnopyret,unisex,"Accessoarer & Övrigt
(216)",44 46,99 kr,100% bomull,Röd,https://www.polarnopyret.se/barnklader/accessoarer-ovrigt/mossor/hjalmmossa-randig-nyfodd-rod-60290264-503,https://www.polarnopyret.se/globalassets/productimages-polarnopyret/7322859452391.jpg?ref=AA4F1D8C3C&w=960&h=960&mode=max,60290264
Vadderade tumvantar baby svart,polarnopyret,unisex,"Accessoarer & Övrigt
(216)",3,299 kr,Yttertyg: 100% Polyamid Vaddering: 100% Polyester Foder: 100% Polyester,Svart,https://www.polarnopyret.se/barnklader/accessoarer-ovrigt/vantar-handskar/vadderade-tumvantar-baby-svart-60382379-198,https://www.polarnopyret.se/globalassets/productimages-polarnopyret/7325852976727.jpg?ref=FAC7B7D3E0&w=960&h=960&mode=max,60382379
Kanin mörk marinblå,polarnopyret,unisex,"Accessoarer & Övrigt
(216)",One size,199 kr,100% bomull 100% polyester,Mörk marinblå,https://www.polarnopyret.se/barnklader/accessoarer-ovrigt/ovrigt/kanin-mork-marinbla-60290461-483,https://www.polarnopyret.se/globalassets/productimages-polarnopyret/7322859460860.jpg?ref=2F6E49550B&w=960&h=960&mode=max,60290461
Dubbelstickade vantar ull gråmelange,polarnopyret,unisex,"Accessoarer & Övrigt
(216)",0,149 kr,100% Ull,Gråmelange,https://www.polarnopyret.se/barnklader/accessoarer-ovrigt/vantar-handskar/dubbelstickade-vantar-ull-gramelange-60344419-186,https://www.polarnopyret.se/globalassets/productimages-polarnopyret/7325851889844.jpg?ref=46F6B6DEE1&w=960&h=960&mode=max,60344419
Tumvantar vadderade fleece svart,polarnopyret,unisex,"Accessoarer & Övrigt
(216)",4,299 kr,Yttertyg: 100% Polyamid Vaddering: 100% Polyester Foder: 100% Polyester,Svart,https://www.polarnopyret.se/barnklader/accessoarer-ovrigt/vantar-handskar/tumvantar-vadderade-fleece-svart-60382380-198,https://www.polarnopyret.se/globalassets/productimages-polarnopyret/7325852976789.jpg?ref=45163F6B6E&w=960&h=960&mode=max,60382380
Handskar vadderade svart,polarnopyret,unisex,"Accessoarer & Övrigt
(216)",4,299 kr,Yttertyg: 100% Polyamid Vaddering: 100% Polyester Foder: 100% Polyester,Svart,https://www.polarnopyret.se/barnklader/accessoarer-ovrigt/vantar-handskar/handskar-vadderade-svart-60382384-198,https://www.polarnopyret.se/globalassets/productimages-polarnopyret/7325852976864.jpg?ref=6CDCE4B9D0&w=960&h=960&mode=max,60382384
Tumvantar ull dubbelstickade gråmelange,polarnopyret,unisex,"Accessoarer & Övrigt
(216)",6,149 kr,100% Wool,Gråmelange,https://www.polarnopyret.se/barnklader/accessoarer-ovrigt/vantar-handskar/tumvantar-ull-dubbelstickade-gramelange-60400032-186,https://www.polarnopyret.se/globalassets/productimages-polarnopyret/7325853539389.jpg?ref=A3B56CA6CF&w=960&h=960&mode=max,60400032
Tumvantar ull dubbelstickade svart,polarnopyret,unisex,"Accessoarer & Övrigt
(216)",6,149 kr,100% Ull,Svart,https://www.polarnopyret.se/barnklader/accessoarer-ovrigt/vantar-handskar/tumvantar-ull-dubbelstickade-svart-60392949-198,https://www.polarnopyret.se/globalassets/productimages-polarnopyret/7325853337817.jpg?ref=913A471EA2&w=960&h=960&mode=max,60392949
Hjälmmössa mörk marinblå,polarnopyret,unisex,"Accessoarer & Övrigt
(216)",44,199 kr,Yttertyg: 100% Polyester Foder: 100% Bomull,Mörk marinblå,https://www.polarnopyret.se/barnklader/accessoarer-ovrigt/mossor/hjalmmossa-mork-marinbla-60344430-483,https://www.polarnopyret.se/globalassets/productimages-polarnopyret/7325851890291.jpg?ref=7E42CD21A6&w=960&h=960&mode=max,60344430
Mössa med öron baby grön,polarnopyret,unisex,"Accessoarer & Övrigt
(216)",48 50,129 kr,100% Bomull,Grön,https://www.polarnopyret.se/barnklader/accessoarer-ovrigt/mossor/mossa-med-oron-baby-gron-60419618-885,https://www.polarnopyret.se/globalassets/productimages-polarnopyret/7325854102575.jpg?ref=347BD011E1&w=960&h=960&mode=max,60419618
Hjälmmössa ull baby lila,polarnopyret,unisex,"Accessoarer & Övrigt
(216)",44 46,179 kr,100% Ull,Lila,https://www.polarnopyret.se/barnklader/accessoarer-ovrigt/mossor/hjalmmossa-ull-baby-lila-60417027-864,https://www.polarnopyret.se/globalassets/productimages-polarnopyret/7325854021661.jpg?ref=E5F0E2A5B6&w=960&h=960&mode=max,60417027
Stickad basker med pompom mörk marinblå,polarnopyret,unisex,"Accessoarer & Övrigt
(216)",56 58,249 kr,"57 %Ull, 50% Akryl",Mörk marinblå,https://www.polarnopyret.se/barnklader/accessoarer-ovrigt/mossor/stickad-basker-med-pompom-mork-marinbla-60417025-483,https://www.polarnopyret.se/globalassets/productimages-polarnopyret/7325854021562.jpg?ref=8FC9D7B9E3&w=960&h=960&mode=max,60417025
Randiga tumvantar ull töjbara svart,polarnopyret,unisex,"Accessoarer & Övrigt
(216)",1 3,99 kr,"45% Ull, 45% Akryl, Polyamid, 7%, Elastodien, 2%, Elastan 1%",Svart,https://www.polarnopyret.se/barnklader/accessoarer-ovrigt/vantar-handskar/randiga-tumvantar-ull-tojbara-svart-60417053-186,https://www.polarnopyret.se/globalassets/productimages-polarnopyret/7325854022545.jpg?ref=72BBE87593&w=960&h=960&mode=max,60417053
Stickad mössa svart,polarnopyret,unisex,"Accessoarer & Övrigt
(216)",56 58,179 kr,100% Bomull,Svart,https://www.polarnopyret.se/barnklader/accessoarer-ovrigt/mossor/stickad-mossa-svart-60417000-198,https://www.polarnopyret.se/globalassets/productimages-polarnopyret/7325854021135.jpg?ref=9970CF1394&w=960&h=960&mode=max,60417000
Randiga tumvantar ull töjbara baby rosa,polarnopyret,unisex,"Accessoarer & Övrigt
(216)",0,79 kr,"45% Ull, 45% Akryl, Polyamid, 7%, Elastodien, 2%, Elastan 1%",Rosa,https://www.polarnopyret.se/barnklader/accessoarer-ovrigt/vantar-handskar/randiga-tumvantar-ull-tojbara-baby-rosa-60417052-871,https://www.polarnopyret.se/globalassets/productimages-polarnopyret/7325854022279.jpg?ref=31842BB045&w=960&h=960&mode=max,60417052
Sula ull ljusgrå,polarnopyret,unisex,"Accessoarer & Övrigt
(216)",35,79 kr,"50% ull, 30% polyester, 20% viskos",Ljusgrå,https://www.polarnopyret.se/barnklader/accessoarer-ovrigt/ovrigt/sula-ull-ljusgra-60306804-186,https://www.polarnopyret.se/globalassets/productimages-polarnopyret/7325850488994_1.jpg?ref=94F97ADA4A&w=960&h=960&mode=max,60306804
Randiga tumvantar ull töjbara svart,polarnopyret,unisex,"Accessoarer & Övrigt
(216)",4 6,99 kr,"45% Ull, 45% Akryl, Polyamid, 7%, Elastodien, 2%, Elastan 1%",Svart,https://www.polarnopyret.se/barnklader/accessoarer-ovrigt/vantar-handskar/randiga-tumvantar-ull-tojbara-svart-60417057-186,https://www.polarnopyret.se/globalassets/productimages-polarnopyret/7325854022576.jpg?ref=915C9E28BD&w=960&h=960&mode=max,60417057
Randiga tumvantar ull töjbara baby svart,polarnopyret,unisex,"Accessoarer & Övrigt
(216)",0,79 kr,"45% Ull, 45% Akryl, Polyamid, 7%, Elastodien, 2%, Elastan 1%",Svart,https://www.polarnopyret.se/barnklader/accessoarer-ovrigt/vantar-handskar/randiga-tumvantar-ull-tojbara-baby-svart-60417052-186,https://www.polarnopyret.se/globalassets/productimages-polarnopyret/7325854022262.jpg?ref=85AD2829DE&w=960&h=960&mode=max,60417052
Keps med rosett lila,polarnopyret,unisex,"Accessoarer & Övrigt
(216)",52 54,179 kr,100% Polyester,Lila,https://www.polarnopyret.se/barnklader/accessoarer-ovrigt/kepsar/keps-med-rosett-lila-60417007-863,https://www.polarnopyret.se/globalassets/productimages-polarnopyret/7325854021425.jpg?ref=3BDFB758C3&w=960&h=960&mode=max,60417007
Randiga fingervantar ull töjbara svart,polarnopyret,unisex,"Accessoarer & Övrigt
(216)",1 3,99 kr,"45% Ull, 45% Akryl, Polyamid, 7%, Elastodien, 2%, Elastan 1%",Svart,https://www.polarnopyret.se/barnklader/accessoarer-ovrigt/vantar-handskar/randiga-fingervantar-ull-tojbara-svart-60417058-186,https://www.polarnopyret.se/globalassets/productimages-polarnopyret/7325854022606.jpg?ref=69EB9D84B4&w=960&h=960&mode=max,60417058
Randiga fingervantar ull töjbara rosa,polarnopyret,unisex,"Accessoarer & Övrigt
(216)",1 3,99 kr,"45% Ull, 45% Akryl, Polyamid, 7%, Elastodien, 2%, Elastan 1%",Rosa,https://www.polarnopyret.se/barnklader/accessoarer-ovrigt/vantar-handskar/randiga-fingervantar-ull-tojbara-rosa-60417058-871,https://www.polarnopyret.se/globalassets/productimages-polarnopyret/7325854022620.jpg?ref=ABD2389AB1&w=960&h=960&mode=max,60417058
Randiga fingervantar ull töjbara mörk marinblå,polarnopyret,unisex,"Accessoarer & Övrigt
(216)",4 6,99 kr,"45% Ull, 45% Akryl, Polyamid, 7%, Elastodien, 2%, Elastan 1%",Mörk marinblå,https://www.polarnopyret.se/barnklader/accessoarer-ovrigt/vantar-handskar/randiga-fingervantar-ull-tojbara-mork-marinbla-60417060-483,https://www.polarnopyret.se/globalassets/productimages-polarnopyret/7325854022798.jpg?ref=43C5C1B370&w=960&h=960&mode=max,60417060
Randiga tumvantar ull töjbara rosa,polarnopyret,unisex,"Accessoarer & Övrigt
(216)",1 3,99 kr,"45% Ull, 45% Akryl, Polyamid, 7%, Elastodien, 2%, Elastan 1%",Rosa,https://www.polarnopyret.se/barnklader/accessoarer-ovrigt/vantar-handskar/randiga-tumvantar-ull-tojbara-rosa-60417053-871,https://www.polarnopyret.se/globalassets/productimages-polarnopyret/7325854022569.jpg?ref=8DC3E6B882&w=960&h=960&mode=max,60417053
Stickad mössa röd,polarnopyret,unisex,"Accessoarer & Övrigt
(216)",56 58,179 kr,100% Bomull,Röd,https://www.polarnopyret.se/barnklader/accessoarer-ovrigt/mossor/stickad-mossa-rod-60417000-961,https://www.polarnopyret.se/globalassets/productimages-polarnopyret/7325854021142.jpg?ref=B2938F4E7F&w=960&h=960&mode=max,60417000
Stickad mössa med mönster röd,polarnopyret,unisex,"Accessoarer & Övrigt
(216)",44 46,149 kr,100% Bomull,Röd,https://www.polarnopyret.se/barnklader/accessoarer-ovrigt/mossor/stickad-mossa-med-monster-rod-60416993-961,https://www.polarnopyret.se/globalassets/productimages-polarnopyret/7325854020923.jpg?ref=B7F7BE3A7F&w=960&h=960&mode=max,60416993
Keps med rosett lila,polarnopyret,unisex,"Accessoarer & Övrigt
(216)",56 58,179 kr,100% Polyester,Lila,https://www.polarnopyret.se/barnklader/accessoarer-ovrigt/kepsar/keps-med-rosett-lila-60417009-863,https://www.polarnopyret.se/globalassets/productimages-polarnopyret/7325854021432.jpg?ref=C8B9F39EA3&w=960&h=960&mode=max,60417009
Stickad mössa svart,polarnopyret,unisex,"Accessoarer & Övrigt
(216)",52 54,179 kr,100% Bomull,Svart,https://www.polarnopyret.se/barnklader/accessoarer-ovrigt/mossor/stickad-mossa-svart-60416999-198,https://www.polarnopyret.se/globalassets/productimages-polarnopyret/7325854021111.jpg?ref=3BE2FA0DE4&w=960&h=960&mode=max,60416999
Vändbar dregellapp baby vit,polarnopyret,unisex,"Accessoarer & Övrigt
(216)",One size,99 kr,"95% Bomull, 5% Elastan",Vit,https://www.polarnopyret.se/barnklader/accessoarer-ovrigt/ovrigt/vandbar-dregellapp-baby-vit-60419584-545,https://www.polarnopyret.se/globalassets/productimages-polarnopyret/7325854102032.jpg?ref=2AA384BAD3&w=960&h=960&mode=max,60419584
Stickade tumvantar 2-pack baby mörk marinblå,polarnopyret,unisex,"Accessoarer & Övrigt
(216)",1 3,99 kr,"95% Acryl, 5% Elastan",Mörk marinblå,https://www.polarnopyret.se/barnklader/accessoarer-ovrigt/vantar-handskar/stickade-tumvantar-2-pack-baby-mork-marinbla-60417050-483,https://www.polarnopyret.se/globalassets/productimages-polarnopyret/7325854022101.jpg?ref=1C7E88239D&w=960&h=960&mode=max,60417050
Randiga tumvantar ull töjbara mörk marinblå,polarnopyret,unisex,"Accessoarer & Övrigt
(216)",1 3,99 kr,"45% Ull, 45% Akryl, Polyamid, 7%, Elastodien, 2%, Elastan 1%",Mörk marinblå,https://www.polarnopyret.se/barnklader/accessoarer-ovrigt/vantar-handskar/randiga-tumvantar-ull-tojbara-mork-marinbla-60417053-483,https://www.polarnopyret.se/globalassets/productimages-polarnopyret/7325854022552.jpg?ref=D511FBFFA5&w=960&h=960&mode=max,60417053
Randiga tumvantar ull töjbara rosa,polarnopyret,unisex,"Accessoarer & Övrigt
(216)",4 6,99 kr,"45% Ull, 45% Akryl, Polyamid, 7%, Elastodien, 2%, Elastan 1%",Rosa,https://www.polarnopyret.se/barnklader/accessoarer-ovrigt/vantar-handskar/randiga-tumvantar-ull-tojbara-rosa-60417057-871,https://www.polarnopyret.se/globalassets/productimages-polarnopyret/7325854022590.jpg?ref=5E4AFFD8F6&w=960&h=960&mode=max,60417057
Stickade tumvantar 2-pack baby mörk marinblå,polarnopyret,unisex,"Accessoarer & Övrigt
(216)",1 3,99 kr,"95% Akryl, 5% Elastan",Mörk marinblå,https://www.polarnopyret.se/barnklader/accessoarer-ovrigt/vantar-handskar/stickade-tumvantar-2-pack-baby-mork-marinbla-60417048-483,https://www.polarnopyret.se/globalassets/productimages-polarnopyret/7325854022033.jpg?ref=FDE22E108B&w=960&h=960&mode=max,60417048
Randiga tumvantar ull töjbara mörk marinblå,polarnopyret,unisex,"Accessoarer & Övrigt
(216)",4 6,99 kr,"45% Ull, 45% Akryl, Polyamid, 7%, Elastodien, 2%, Elastan 1%",Mörk marinblå,https://www.polarnopyret.se/barnklader/accessoarer-ovrigt/vantar-handskar/randiga-tumvantar-ull-tojbara-mork-marinbla-60417057-483,https://www.polarnopyret.se/globalassets/productimages-polarnopyret/7325854022583.jpg?ref=AAEC24D8E8&w=960&h=960&mode=max,60417057
Randiga fingervantar ull töjbara svart,polarnopyret,unisex,"Accessoarer & Övrigt
(216)",4 6,99 kr,"45% Ull, 45% Akryl, Polyamid, 7%, Elastodien, 2%, Elastan 1%",Svart,https://www.polarnopyret.se/barnklader/accessoarer-ovrigt/vantar-handskar/randiga-fingervantar-ull-tojbara-svart-60417060-186,https://www.polarnopyret.se/globalassets/productimages-polarnopyret/7325854022781.jpg?ref=85F5052DED&w=960&h=960&mode=max,60417060
