article_no,gender,category,price,size,brand
11966,unisex,shorts,80,100,lager157
11966,unisex,shorts,80,130,lager157
11966,unisex,shorts,80,150,lager157
11966,unisex,shorts,80,110,lager157
11966,unisex,shorts,80,160,lager157
11966,unisex,shorts,80,140,lager157
11966,unisex,shorts,80,120,lager157
13974,unisex,shorts,35,90,lager157
13974,unisex,shorts,35,100,lager157
13974,unisex,shorts,35,130,lager157
13974,unisex,shorts,35,150,lager157
13974,unisex,shorts,35,110,lager157
13974,unisex,shorts,35,160,lager157
13974,unisex,shorts,35,140,lager157
13974,unisex,shorts,35,120,lager157
13974,unisex,shorts,35,90,lager157
13974,unisex,shorts,35,100,lager157
13974,unisex,shorts,35,130,lager157
13974,unisex,shorts,35,150,lager157
13974,unisex,shorts,35,110,lager157
13974,unisex,shorts,35,160,lager157
13974,unisex,shorts,35,140,lager157
13974,unisex,shorts,35,120,lager157
13974,unisex,shorts,35,90,lager157
13974,unisex,shorts,35,100,lager157
13974,unisex,shorts,35,130,lager157
13974,unisex,shorts,35,150,lager157
13974,unisex,shorts,35,110,lager157
13974,unisex,shorts,35,160,lager157
13974,unisex,shorts,35,140,lager157
13974,unisex,shorts,35,120,lager157
13974,unisex,shorts,35,90,lager157
13974,unisex,shorts,35,100,lager157
13974,unisex,shorts,35,130,lager157
13974,unisex,shorts,35,150,lager157
13974,unisex,shorts,35,110,lager157
13974,unisex,shorts,35,160,lager157
13974,unisex,shorts,35,140,lager157
13974,unisex,shorts,35,120,lager157
13974,unisex,shorts,35,90,lager157
13974,unisex,shorts,35,100,lager157
13974,unisex,shorts,35,130,lager157
13974,unisex,shorts,35,150,lager157
13974,unisex,shorts,35,110,lager157
13974,unisex,shorts,35,160,lager157
13974,unisex,shorts,35,140,lager157
13974,unisex,shorts,35,120,lager157
13974,unisex,shorts,35,90,lager157
13974,unisex,shorts,35,100,lager157
13974,unisex,shorts,35,130,lager157
13974,unisex,shorts,35,150,lager157
13974,unisex,shorts,35,110,lager157
13974,unisex,shorts,35,160,lager157
13974,unisex,shorts,35,140,lager157
13974,unisex,shorts,35,120,lager157
12563,unisex,jeans,150,90,lager157
12563,unisex,jeans,150,100,lager157
12563,unisex,jeans,150,130,lager157
12563,unisex,jeans,150,150,lager157
12563,unisex,jeans,150,110,lager157
12563,unisex,jeans,150,160,lager157
12563,unisex,jeans,150,140,lager157
12563,unisex,jeans,150,120,lager157
12563,unisex,jeans,150,90,lager157
12563,unisex,jeans,150,100,lager157
12563,unisex,jeans,150,130,lager157
12563,unisex,jeans,150,150,lager157
12563,unisex,jeans,150,110,lager157
12563,unisex,jeans,150,160,lager157
12563,unisex,jeans,150,140,lager157
12563,unisex,jeans,150,120,lager157
12563,unisex,jeans,150,90,lager157
12563,unisex,jeans,150,100,lager157
12563,unisex,jeans,150,130,lager157
12563,unisex,jeans,150,150,lager157
12563,unisex,jeans,150,110,lager157
12563,unisex,jeans,150,160,lager157
12563,unisex,jeans,150,140,lager157
12563,unisex,jeans,150,120,lager157
12563,unisex,jeans,150,90,lager157
12563,unisex,jeans,150,100,lager157
12563,unisex,jeans,150,130,lager157
12563,unisex,jeans,150,150,lager157
12563,unisex,jeans,150,110,lager157
12563,unisex,jeans,150,160,lager157
12563,unisex,jeans,150,140,lager157
12563,unisex,jeans,150,120,lager157
12563,unisex,jeans,150,90,lager157
12563,unisex,jeans,150,100,lager157
12563,unisex,jeans,150,130,lager157
12563,unisex,jeans,150,150,lager157
12563,unisex,jeans,150,110,lager157
12563,unisex,jeans,150,160,lager157
12563,unisex,jeans,150,140,lager157
12563,unisex,jeans,150,120,lager157
12563,unisex,jeans,150,90,lager157
12563,unisex,jeans,150,100,lager157
12563,unisex,jeans,150,130,lager157
12563,unisex,jeans,150,150,lager157
12563,unisex,jeans,150,110,lager157
12563,unisex,jeans,150,160,lager157
12563,unisex,jeans,150,140,lager157
12563,unisex,jeans,150,120,lager157
13767,unisex,jeans,150,90,lager157
13767,unisex,jeans,150,100,lager157
13767,unisex,jeans,150,130,lager157
13767,unisex,jeans,150,150,lager157
13767,unisex,jeans,150,110,lager157
13767,unisex,jeans,150,160,lager157
13767,unisex,jeans,150,140,lager157
13767,unisex,jeans,150,120,lager157
13767,unisex,jeans,150,90,lager157
13767,unisex,jeans,150,100,lager157
13767,unisex,jeans,150,130,lager157
13767,unisex,jeans,150,150,lager157
13767,unisex,jeans,150,110,lager157
13767,unisex,jeans,150,160,lager157
13767,unisex,jeans,150,140,lager157
13767,unisex,jeans,150,120,lager157
13767,unisex,jeans,150,90,lager157
13767,unisex,jeans,150,100,lager157
13767,unisex,jeans,150,130,lager157
13767,unisex,jeans,150,150,lager157
13767,unisex,jeans,150,110,lager157
13767,unisex,jeans,150,160,lager157
13767,unisex,jeans,150,140,lager157
13767,unisex,jeans,150,120,lager157
13930,unisex,jeans,150,90,lager157
13930,unisex,jeans,150,100,lager157
13930,unisex,jeans,150,130,lager157
13930,unisex,jeans,150,150,lager157
13930,unisex,jeans,150,110,lager157
