article_no,gender,category,price,size,brand
557967,boy,Bodys &amp; set,199,62-68,DESIGN BY KAPPAHL
557967,boy,Bodys &amp; set,199,74-80,DESIGN BY KAPPAHL
557967,boy,Bodys &amp; set,199,86-92,DESIGN BY KAPPAHL
557975,boy,Bodys &amp; set,199,50-56,DESIGN BY KAPPAHL
557975,boy,Bodys &amp; set,199,62-68,DESIGN BY KAPPAHL
557975,boy,Bodys &amp; set,199,74-80,DESIGN BY KAPPAHL
557975,boy,Bodys &amp; set,199,86-92,DESIGN BY KAPPAHL
276469,boy,Bodys &amp; set,80,50,NEWBIE BABY
276469,boy,Bodys &amp; set,80,56,NEWBIE BABY
276469,boy,Bodys &amp; set,80,62,NEWBIE BABY
276469,boy,Bodys &amp; set,80,68,NEWBIE BABY
276469,boy,Bodys &amp; set,80,74,NEWBIE BABY
276469,boy,Bodys &amp; set,80,80,NEWBIE BABY
276469,boy,Bodys &amp; set,80,86,NEWBIE BABY
242214,boy,Bodys &amp; set,99,44,NEWBIE BABY
242214,boy,Bodys &amp; set,99,50,NEWBIE BABY
242214,boy,Bodys &amp; set,99,56,NEWBIE BABY
242214,boy,Bodys &amp; set,99,62,NEWBIE BABY
242214,boy,Bodys &amp; set,99,68,NEWBIE BABY
242214,boy,Bodys &amp; set,99,74,NEWBIE BABY
242222,boy,Bodys &amp; set,99,44,NEWBIE BABY
242222,boy,Bodys &amp; set,99,50,NEWBIE BABY
242222,boy,Bodys &amp; set,99,56,NEWBIE BABY
242222,boy,Bodys &amp; set,99,62,NEWBIE BABY
242222,boy,Bodys &amp; set,99,68,NEWBIE BABY
242222,boy,Bodys &amp; set,99,74,NEWBIE BABY
276477,boy,Bodys &amp; set,80,50,NEWBIE BABY
276477,boy,Bodys &amp; set,80,56,NEWBIE BABY
276477,boy,Bodys &amp; set,80,62,NEWBIE BABY
276477,boy,Bodys &amp; set,80,68,NEWBIE BABY
276477,boy,Bodys &amp; set,80,74,NEWBIE BABY
276477,boy,Bodys &amp; set,80,80,NEWBIE BABY
276477,boy,Bodys &amp; set,80,86,NEWBIE BABY
276485,boy,Bodys &amp; set,80,50,NEWBIE BABY
276485,boy,Bodys &amp; set,80,56,NEWBIE BABY
276485,boy,Bodys &amp; set,80,62,NEWBIE BABY
276485,boy,Bodys &amp; set,80,68,NEWBIE BABY
276485,boy,Bodys &amp; set,80,74,NEWBIE BABY
276485,boy,Bodys &amp; set,80,80,NEWBIE BABY
276485,boy,Bodys &amp; set,80,86,NEWBIE BABY
344994,boy,Bodys &amp; set,99,44,NEWBIE BABY
344994,boy,Bodys &amp; set,99,50,NEWBIE BABY
344994,boy,Bodys &amp; set,99,56,NEWBIE BABY
344994,boy,Bodys &amp; set,99,62,NEWBIE BABY
344994,boy,Bodys &amp; set,99,68,NEWBIE BABY
344994,boy,Bodys &amp; set,99,74,NEWBIE BABY
345025,boy,Bodys &amp; set,99,44,NEWBIE BABY
345025,boy,Bodys &amp; set,99,50,NEWBIE BABY
345025,boy,Bodys &amp; set,99,56,NEWBIE BABY
345025,boy,Bodys &amp; set,99,62,NEWBIE BABY
345025,boy,Bodys &amp; set,99,68,NEWBIE BABY
345025,boy,Bodys &amp; set,99,74,NEWBIE BABY
344960,boy,Bodys &amp; set,99,44,NEWBIE BABY
344960,boy,Bodys &amp; set,99,50,NEWBIE BABY
344960,boy,Bodys &amp; set,99,56,NEWBIE BABY
344960,boy,Bodys &amp; set,99,62,NEWBIE BABY
344960,boy,Bodys &amp; set,99,68,NEWBIE BABY
344960,boy,Bodys &amp; set,99,74,NEWBIE BABY
588566,boy,Bodys &amp; set,69,56,NEWBIE BABY
588566,boy,Bodys &amp; set,69,62,NEWBIE BABY
588566,boy,Bodys &amp; set,69,68,NEWBIE BABY
588566,boy,Bodys &amp; set,69,74,NEWBIE BABY
588566,boy,Bodys &amp; set,69,80,NEWBIE BABY
588566,boy,Bodys &amp; set,69,86,NEWBIE BABY
611491,boy,Bodys &amp; set,90,56,NEWBIE BABY
611491,boy,Bodys &amp; set,90,62,NEWBIE BABY
611491,boy,Bodys &amp; set,90,68,NEWBIE BABY
611491,boy,Bodys &amp; set,90,74,NEWBIE BABY
611491,boy,Bodys &amp; set,90,80,NEWBIE BABY
611491,boy,Bodys &amp; set,90,86,NEWBIE BABY
591545,boy,Bodys &amp; set,69,56,NEWBIE BABY
591545,boy,Bodys &amp; set,69,62,NEWBIE BABY
591545,boy,Bodys &amp; set,69,68,NEWBIE BABY
591545,boy,Bodys &amp; set,69,74,NEWBIE BABY
591545,boy,Bodys &amp; set,69,80,NEWBIE BABY
591545,boy,Bodys &amp; set,69,86,NEWBIE BABY
616896,boy,Bodys &amp; set,74,62,DESIGN BY KAPPAHL
616896,boy,Bodys &amp; set,74,68,DESIGN BY KAPPAHL
616896,boy,Bodys &amp; set,74,74,DESIGN BY KAPPAHL
616896,boy,Bodys &amp; set,74,80,DESIGN BY KAPPAHL
616896,boy,Bodys &amp; set,74,86,DESIGN BY KAPPAHL
611848,boy,Bodys &amp; set,50,56,NEWBIE BABY
611848,boy,Bodys &amp; set,50,62,NEWBIE BABY
611848,boy,Bodys &amp; set,50,68,NEWBIE BABY
611848,boy,Bodys &amp; set,50,74,NEWBIE BABY
611848,boy,Bodys &amp; set,50,80,NEWBIE BABY
611848,boy,Bodys &amp; set,50,86,NEWBIE BABY
583088,boy,Bodys &amp; set,69,56,NEWBIE BABY
583088,boy,Bodys &amp; set,69,62,NEWBIE BABY
583088,boy,Bodys &amp; set,69,68,NEWBIE BABY
583088,boy,Bodys &amp; set,69,74,NEWBIE BABY
583088,boy,Bodys &amp; set,69,80,NEWBIE BABY
583088,boy,Bodys &amp; set,69,86,NEWBIE BABY
583070,boy,Bodys &amp; set,69,56,NEWBIE BABY
583070,boy,Bodys &amp; set,69,62,NEWBIE BABY
583070,boy,Bodys &amp; set,69,68,NEWBIE BABY
583070,boy,Bodys &amp; set,69,74,NEWBIE BABY
583070,boy,Bodys &amp; set,69,80,NEWBIE BABY
