article_no,gender,category,price,size,brand
Artikel 1341371,unisex,shoe,240,24,kavat
Artikel 1341371,unisex,shoe,240,25,kavat
Artikel 1341371,unisex,shoe,240,26,kavat
Artikel 1341371,unisex,shoe,240,27,kavat
Artikel 1341371,unisex,shoe,240,28,kavat
Artikel 1341371,unisex,shoe,240,29,kavat
Artikel 1341371,unisex,shoe,240,30,kavat
Artikel 1300391,unisex,shoe,200,19,kavat
Artikel 1300391,unisex,shoe,200,20,kavat
Artikel 1300391,unisex,shoe,200,21,kavat
Artikel 1300391,unisex,shoe,200,22,kavat
Artikel 1300391,unisex,shoe,200,23,kavat
Artikel 1300391,unisex,shoe,200,24,kavat
Artikel 1300391,unisex,shoe,200,19,kavat
Artikel 1300391,unisex,shoe,200,20,kavat
Artikel 1300391,unisex,shoe,200,21,kavat
Artikel 1300391,unisex,shoe,200,22,kavat
Artikel 1300391,unisex,shoe,200,23,kavat
Artikel 1300391,unisex,shoe,200,24,kavat
Artikel 1001262,unisex,shoe,560,19,kavat
Artikel 1001262,unisex,shoe,560,20,kavat
Artikel 1001262,unisex,shoe,560,21,kavat
Artikel 1001262,unisex,shoe,560,22,kavat
Artikel 1001262,unisex,shoe,560,23,kavat
Artikel 1001262,unisex,shoe,560,24,kavat
Artikel 1001262,unisex,shoe,560,25,kavat
Artikel 1001262,unisex,shoe,560,26,kavat
Artikel 1001262,unisex,shoe,600,19,kavat
Artikel 1001262,unisex,shoe,600,20,kavat
Artikel 1001262,unisex,shoe,600,21,kavat
Artikel 1001262,unisex,shoe,600,22,kavat
Artikel 1001262,unisex,shoe,600,23,kavat
Artikel 1001262,unisex,shoe,600,24,kavat
Artikel 1001262,unisex,shoe,600,25,kavat
Artikel 1001262,unisex,shoe,600,26,kavat
Artikel 1001262,unisex,shoe,280,20,kavat
Artikel 1001262,unisex,shoe,280,21,kavat
Artikel 1001262,unisex,shoe,280,22,kavat
Artikel 1001262,unisex,shoe,280,23,kavat
Artikel 1001262,unisex,shoe,280,24,kavat
Artikel 1001262,unisex,shoe,280,25,kavat
Artikel 1001262,unisex,shoe,280,26,kavat
Artikel 1001262,unisex,shoe,560,19,kavat
Artikel 1001262,unisex,shoe,560,20,kavat
Artikel 1001262,unisex,shoe,560,21,kavat
Artikel 1001262,unisex,shoe,560,22,kavat
Artikel 1001262,unisex,shoe,560,23,kavat
Artikel 1001262,unisex,shoe,560,24,kavat
Artikel 1001262,unisex,shoe,560,25,kavat
Artikel 1001262,unisex,shoe,560,26,kavat
Artikel 1001262,unisex,shoe,560,19,kavat
Artikel 1001262,unisex,shoe,560,20,kavat
Artikel 1001262,unisex,shoe,560,21,kavat
Artikel 1001262,unisex,shoe,560,22,kavat
Artikel 1001262,unisex,shoe,560,23,kavat
Artikel 1001262,unisex,shoe,560,24,kavat
Artikel 1001262,unisex,shoe,560,25,kavat
Artikel 1001262,unisex,shoe,560,26,kavat
Artikel 1001362,unisex,shoe,200,19,kavat
Artikel 1001362,unisex,shoe,200,20,kavat
Artikel 1001362,unisex,shoe,200,21,kavat
Artikel 1001362,unisex,shoe,200,22,kavat
Artikel 1001362,unisex,shoe,200,23,kavat
Artikel 1001362,unisex,shoe,200,24,kavat
Artikel 1001362,unisex,shoe,440,19,kavat
Artikel 1001362,unisex,shoe,440,20,kavat
Artikel 1001362,unisex,shoe,440,21,kavat
Artikel 1001362,unisex,shoe,440,22,kavat
Artikel 1001362,unisex,shoe,440,23,kavat
Artikel 1001362,unisex,shoe,440,24,kavat
Artikel 1001362,unisex,shoe,440,25,kavat
Artikel 1001362,unisex,shoe,440,19,kavat
Artikel 1001362,unisex,shoe,440,20,kavat
Artikel 1001362,unisex,shoe,440,21,kavat
Artikel 1001362,unisex,shoe,440,22,kavat
Artikel 1001362,unisex,shoe,440,23,kavat
Artikel 1001362,unisex,shoe,440,24,kavat
Artikel 1001362,unisex,shoe,440,25,kavat
Artikel 1001362,unisex,shoe,200,19,kavat
Artikel 1001362,unisex,shoe,200,20,kavat
Artikel 1001362,unisex,shoe,200,21,kavat
Artikel 1001362,unisex,shoe,200,22,kavat
Artikel 1001362,unisex,shoe,200,23,kavat
Artikel 1001362,unisex,shoe,200,24,kavat
Artikel 1001362,unisex,shoe,440,19,kavat
Artikel 1001362,unisex,shoe,440,20,kavat
Artikel 1001362,unisex,shoe,440,21,kavat
Artikel 1001362,unisex,shoe,440,22,kavat
Artikel 1001362,unisex,shoe,440,23,kavat
Artikel 1001362,unisex,shoe,440,24,kavat
Artikel 1001362,unisex,shoe,440,25,kavat
Artikel 1001362,unisex,shoe,440,19,kavat
Artikel 1001362,unisex,shoe,440,20,kavat
Artikel 1001362,unisex,shoe,440,21,kavat
Artikel 1001362,unisex,shoe,440,22,kavat
Artikel 1001362,unisex,shoe,440,23,kavat
Artikel 1001362,unisex,shoe,440,24,kavat
Artikel 1001362,unisex,shoe,440,25,kavat
Artikel 1571371,unisex,shoe,220,19,kavat
Artikel 1571371,unisex,shoe,220,20,kavat
Artikel 1571371,unisex,shoe,220,21,kavat
Artikel 1571371,unisex,shoe,220,22,kavat
Artikel 1571371,unisex,shoe,220,23,kavat
Artikel 1571371,unisex,shoe,220,24,kavat
Artikel 1571372,unisex,shoe,520,19,kavat
Artikel 1571372,unisex,shoe,520,20,kavat
Artikel 1571372,unisex,shoe,520,21,kavat
Artikel 1571372,unisex,shoe,520,22,kavat
Artikel 1571372,unisex,shoe,520,23,kavat
Artikel 1571372,unisex,shoe,520,24,kavat
Artikel 1571372,unisex,shoe,520,25,kavat
Artikel 1571371,unisex,shoe,440,19,kavat
Artikel 1571371,unisex,shoe,440,20,kavat
Artikel 1571371,unisex,shoe,440,21,kavat
Artikel 1571371,unisex,shoe,440,22,kavat
Artikel 1571371,unisex,shoe,440,23,kavat
Artikel 1571371,unisex,shoe,440,24,kavat
Artikel 1571372,unisex,shoe,520,19,kavat
Artikel 1571372,unisex,shoe,520,20,kavat
Artikel 1571372,unisex,shoe,520,21,kavat
Artikel 1571372,unisex,shoe,520,22,kavat
Artikel 1571372,unisex,shoe,520,23,kavat
Artikel 1571372,unisex,shoe,520,24,kavat
Artikel 1571372,unisex,shoe,520,25,kavat
Artikel 1571371,unisex,shoe,220,19,kavat
Artikel 1571371,unisex,shoe,220,20,kavat
Artikel 1571371,unisex,shoe,220,21,kavat
Artikel 1571371,unisex,shoe,220,22,kavat
Artikel 1571371,unisex,shoe,220,23,kavat
