article_no,gender,category,price,size,brand
60290780,unisex,"Underkläder & Nattplagg
(292)",249,146-152,polarnopyret
60420179,unisex,"Underkläder & Nattplagg
(292)",79,13-15,polarnopyret
60420201,unisex,"Underkläder & Nattplagg
(292)",149,34-36,polarnopyret
60420201,unisex,"Underkläder & Nattplagg
(292)",149,34-36,polarnopyret
60419579,unisex,"Underkläder & Nattplagg
(292)",349,110-116,polarnopyret
60419823,unisex,"Underkläder & Nattplagg
(292)",299,98-104,polarnopyret
60404934,unisex,"Underkläder & Nattplagg
(292)",79,146-152,polarnopyret
60420175,unisex,"Underkläder & Nattplagg
(292)",99,40-42,polarnopyret
60420153,unisex,"Underkläder & Nattplagg
(292)",149,31-33,polarnopyret
60361199,unisex,"Underkläder & Nattplagg
(292)",249,110-116,polarnopyret
60420412,unisex,"Underkläder & Nattplagg
(292)",129,28-30,polarnopyret
60404937,unisex,"Underkläder & Nattplagg
(292)",79,146-152,polarnopyret
60290780,unisex,"Underkläder & Nattplagg
(292)",249,146-152,polarnopyret
60290278,unisex,"Underkläder & Nattplagg
(292)",79,13-15,polarnopyret
60361193,unisex,"Underkläder & Nattplagg
(292)",79,13-15,polarnopyret
60381262,unisex,"Underkläder & Nattplagg
(292)",99,28-30,polarnopyret
60290279,unisex,"Underkläder & Nattplagg
(292)",99,22-24,polarnopyret
60290270,unisex,"Underkläder & Nattplagg
(292)",49,16-18,polarnopyret
60390449,unisex,"Underkläder & Nattplagg
(292)",79,146-152,polarnopyret
60290779,unisex,"Underkläder & Nattplagg
(292)",249,110-116,polarnopyret
60290288,unisex,"Underkläder & Nattplagg
(292)",129,40-42,polarnopyret
60420027,unisex,"Underkläder & Nattplagg
(292)",99,122-128,polarnopyret
60290287,unisex,"Underkläder & Nattplagg
(292)",129,28-30,polarnopyret
60392415,unisex,"Underkläder & Nattplagg
(292)",499,86-92,polarnopyret
60392419,unisex,"Underkläder & Nattplagg
(292)",499,146-152,polarnopyret
60290287,unisex,"Underkläder & Nattplagg
(292)",129,28-30,polarnopyret
60420410,unisex,"Underkläder & Nattplagg
(292)",129,28-30,polarnopyret
60392523,unisex,"Underkläder & Nattplagg
(292)",399,XXL,polarnopyret
60420067,unisex,"Underkläder & Nattplagg
(292)",99,146-152,polarnopyret
60420251,unisex,"Underkläder & Nattplagg
(292)",149,50-56,polarnopyret
60290779,unisex,"Underkläder & Nattplagg
(292)",249,110-116,polarnopyret
60419803,unisex,"Underkläder & Nattplagg
(292)",349,146-152,polarnopyret
60290287,unisex,"Underkläder & Nattplagg
(292)",129,28-30,polarnopyret
60361200,unisex,"Underkläder & Nattplagg
(292)",249,146-152,polarnopyret
60290526,unisex,"Underkläder & Nattplagg
(292)",199,92,polarnopyret
60420251,unisex,"Underkläder & Nattplagg
(292)",149,50-56,polarnopyret
60392524,unisex,"Underkläder & Nattplagg
(292)",399,XXL,polarnopyret
60381472,unisex,"Underkläder & Nattplagg
(292)",129,28-30,polarnopyret
60290285,unisex,"Underkläder & Nattplagg
(292)",99,28-30,polarnopyret
